reference_id,status,ledger_amount,gateway_amount
TXN100002,MISSING_IN_GATEWAY,1180528,
TXN100010,MISSING_IN_GATEWAY,64515,
TXN100013,AMOUNT_MISMATCH,1816182,1816026
TXN100017,MISSING_IN_GATEWAY,374488,
TXN100020,MISSING_IN_GATEWAY,2469357,
TXN100023,MISSING_IN_GATEWAY,1921749,
TXN100024,MISSING_IN_GATEWAY,679343,
TXN100028,MISSING_IN_GATEWAY,2249572,
TXN100034,MISSING_IN_GATEWAY,2730280,
TXN100035,MISSING_IN_GATEWAY,1931394,
TXN100037,AMOUNT_MISMATCH,1779852,1779932
TXN100045,DUPLICATE_IN_GATEWAY,1849795,1849795
TXN100047,MISSING_IN_GATEWAY,772603,
TXN100049,MISSING_IN_GATEWAY,1352026,
TXN100052,AMOUNT_MISMATCH,4650795,4650306
TXN100054,MISSING_IN_GATEWAY,4514433,
TXN100057,AMOUNT_MISMATCH,37223,37619
TXN100058,DUPLICATE_IN_GATEWAY,2219467,2219467
TXN100060,AMOUNT_MISMATCH,902638,902443
TXN100064,AMOUNT_MISMATCH,4458929,4459042
TXN100066,AMOUNT_MISMATCH,948414,948813
TXN100068,AMOUNT_MISMATCH,2030577,2031046
TXN100070,MISSING_IN_GATEWAY,4086783,
TXN100072,AMOUNT_MISMATCH,3996957,3996626
TXN100074,DUPLICATE_IN_GATEWAY,3559538,3559538
TXN100075,MISSING_IN_GATEWAY,4533943,
TXN100076,MISSING_IN_GATEWAY,1697377,
TXN100077,DUPLICATE_IN_GATEWAY,3356989,3356989
TXN100085,MISSING_IN_GATEWAY,273510,
TXN100088,MISSING_IN_GATEWAY,1119912,
TXN100090,MISSING_IN_GATEWAY,2048408,
TXN100096,MISSING_IN_GATEWAY,2856276,
TXN100103,MISSING_IN_GATEWAY,4544780,
TXN100106,AMOUNT_MISMATCH,3374169,3373837
TXN100126,AMOUNT_MISMATCH,2663902,2663611
TXN100131,DUPLICATE_IN_GATEWAY,4732732,4732732
TXN100134,AMOUNT_MISMATCH,2937698,2938098
TXN100137,MISSING_IN_GATEWAY,4566842,
TXN100140,AMOUNT_MISMATCH,878946,878583
TXN100142,MISSING_IN_GATEWAY,907882,
TXN100144,MISSING_IN_GATEWAY,1776889,
TXN100147,AMOUNT_MISMATCH,2116557,2116923
TXN100149,MISSING_IN_GATEWAY,3563211,
TXN100160,AMOUNT_MISMATCH,344662,344377
TXN100162,MISSING_IN_GATEWAY,2976871,
TXN100163,AMOUNT_MISMATCH,1306487,1306229
TXN100164,DUPLICATE_IN_GATEWAY,1373163,1373163
TXN100165,AMOUNT_MISMATCH,1495222,1494747
TXN100166,MISSING_IN_GATEWAY,1514586,
TXN100167,MISSING_IN_GATEWAY,2796573,
TXN100170,MISSING_IN_GATEWAY,334845,
TXN100171,MISSING_IN_GATEWAY,1684138,
TXN100175,AMOUNT_MISMATCH,2347091,2347581
TXN100186,MISSING_IN_GATEWAY,382341,
TXN100190,AMOUNT_MISMATCH,596982,597424
TXN100192,MISSING_IN_GATEWAY,1055432,
TXN100210,MISSING_IN_GATEWAY,1894422,
TXN100217,AMOUNT_MISMATCH,56513,56894
TXN100218,MISSING_IN_GATEWAY,904119,
TXN100228,MISSING_IN_GATEWAY,1345113,
TXN100230,MISSING_IN_GATEWAY,2083997,
TXN100233,MISSING_IN_GATEWAY,659977,
TXN100235,AMOUNT_MISMATCH,2691918,2691500
TXN100241,MISSING_IN_GATEWAY,1745052,
TXN100242,AMOUNT_MISMATCH,4909613,4909133
TXN100244,AMOUNT_MISMATCH,59459,59264
TXN100245,MISSING_IN_GATEWAY,3281445,
TXN100246,MISSING_IN_GATEWAY,4524921,
TXN100247,MISSING_IN_GATEWAY,4591289,
