reference_id,status,ledger_amount,gateway_amount
TXN100000,MATCHED,943912,943912
TXN100001,MATCHED,2317113,2317113
TXN100002,MISSING_IN_GATEWAY,1180528,
TXN100003,MATCHED,4584866,4584866
TXN100004,MATCHED,3549336,3549336
TXN100005,MATCHED,795972,795972
TXN100006,MATCHED,4249227,4249227
TXN100007,MATCHED,4718064,4718064
TXN100008,MATCHED,4581300,4581300
TXN100009,MATCHED,3778238,3778238
TXN100010,MISSING_IN_GATEWAY,64515,
TXN100011,MATCHED,1349319,1349319
TXN100012,MATCHED,2864228,2864228
TXN100013,AMOUNT_MISMATCH,1816182,1816026
TXN100014,MATCHED,867401,867401
TXN100015,MATCHED,821315,821315
TXN100016,MATCHED,2895309,2895309
TXN100017,MISSING_IN_GATEWAY,374488,
TXN100018,MATCHED,4508207,4508207
TXN100019,MATCHED,3185376,3185376
TXN100020,MISSING_IN_GATEWAY,2469357,
TXN100021,MATCHED,4853180,4853180
TXN100022,MATCHED,593470,593470
TXN100023,MISSING_IN_GATEWAY,1921749,
TXN100024,MISSING_IN_GATEWAY,679343,
TXN100025,MATCHED,3198729,3198729
TXN100026,MATCHED,3070434,3070434
TXN100027,MATCHED,2990226,2990226
TXN100028,MISSING_IN_GATEWAY,2249572,
TXN100029,MATCHED,608967,608967
TXN100030,MATCHED,1445615,1445615
TXN100031,MATCHED,2063622,2063622
TXN100032,MATCHED,3193102,3193102
TXN100033,MATCHED,4682033,4682033
TXN100034,MISSING_IN_GATEWAY,2730280,
TXN100035,MISSING_IN_GATEWAY,1931394,
TXN100036,MATCHED,3375214,3375214
TXN100037,AMOUNT_MISMATCH,1779852,1779932
TXN100038,MATCHED,2649709,2649709
TXN100039,MATCHED,4197855,4197855
TXN100040,MATCHED,3859128,3859128
TXN100041,MATCHED,1181304,1181304
TXN100042,MATCHED,4719097,4719097
TXN100043,MATCHED,4913862,4913862
TXN100044,MATCHED,4905028,4905028
TXN100045,DUPLICATE_IN_GATEWAY,1849795,1849795
TXN100046,MATCHED,1170410,1170410
TXN100047,MISSING_IN_GATEWAY,772603,
TXN100048,MATCHED,929803,929803
TXN100049,MISSING_IN_GATEWAY,1352026,
TXN100050,MATCHED,542909,542909
TXN100051,MATCHED,3936287,3936287
TXN100052,AMOUNT_MISMATCH,4650795,4650306
TXN100053,MATCHED,970929,970929
TXN100054,MISSING_IN_GATEWAY,4514433,
TXN100055,MATCHED,2863598,2863598
TXN100056,MATCHED,3657075,3657075
TXN100057,AMOUNT_MISMATCH,37223,37619
TXN100058,DUPLICATE_IN_GATEWAY,2219467,2219467
TXN100059,MATCHED,1508640,1508640
TXN100060,AMOUNT_MISMATCH,902638,902443
TXN100061,MATCHED,4268584,4268584
TXN100062,MATCHED,1292108,1292108
TXN100063,MATCHED,1365171,1365171
TXN100064,AMOUNT_MISMATCH,4458929,4459042
TXN100065,MATCHED,2729218,2729218
TXN100066,AMOUNT_MISMATCH,948414,948813
TXN100067,MATCHED,2589615,2589615
TXN100068,AMOUNT_MISMATCH,2030577,2031046
TXN100069,MATCHED,670662,670662
TXN100070,MISSING_IN_GATEWAY,4086783,
TXN100071,MATCHED,1064955,1064955
TXN100072,AMOUNT_MISMATCH,3996957,3996626
TXN100073,MATCHED,2233456,2233456
TXN100074,DUPLICATE_IN_GATEWAY,3559538,3559538
TXN100075,MISSING_IN_GATEWAY,4533943,
TXN100076,MISSING_IN_GATEWAY,1697377,
TXN100077,DUPLICATE_IN_GATEWAY,3356989,3356989
TXN100078,MATCHED,3142478,3142478
TXN100079,MATCHED,4351740,4351740
TXN100080,MATCHED,2089583,2089583
TXN100081,MATCHED,2846067,2846067
TXN100082,MATCHED,4656630,4656630
TXN100083,MATCHED,1857317,1857317
TXN100084,MATCHED,503868,503868
TXN100085,MISSING_IN_GATEWAY,273510,
TXN100086,MATCHED,4323054,4323054
TXN100087,MATCHED,4081951,4081951
TXN100088,MISSING_IN_GATEWAY,1119912,
TXN100089,MATCHED,4800256,4800256
TXN100090,MISSING_IN_GATEWAY,2048408,
TXN100091,MATCHED,1607274,1607274
TXN100092,MATCHED,3625919,3625919
TXN100093,MATCHED,3458575,3458575
TXN100094,MATCHED,464420,464420
TXN100095,MATCHED,835588,835588
TXN100096,MISSING_IN_GATEWAY,2856276,
TXN100097,MATCHED,2095880,2095880
TXN100098,MATCHED,4508690,4508690
TXN100099,MATCHED,3548999,3548999
TXN100100,MATCHED,3890805,3890805
TXN100101,MATCHED,642374,642374
TXN100102,MATCHED,4626463,4626463
TXN100103,MISSING_IN_GATEWAY,4544780,
TXN100104,MATCHED,1992894,1992894
TXN100105,MATCHED,4083853,4083853
TXN100106,AMOUNT_MISMATCH,3374169,3373837
TXN100107,MATCHED,3189056,3189056
TXN100108,MATCHED,3285095,3285095
TXN100109,MATCHED,3826886,3826886
TXN100110,MATCHED,4672122,4672122
TXN100111,MATCHED,4092495,4092495
TXN100112,MATCHED,2498965,2498965
TXN100113,MATCHED,500593,500593
